"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"230","Wind","Copenhagen","Denmark","The transformer breakdowns on 14 of 20 Bonus turbines started within three months of the Middelgrund wind station starting operation off the Copenhagen coastline in May, 2001. The most recent failure occurred on December 23, 2004, on a turbine that Siemens had already retrofitted with a new transformer in December 2001.","http://www.windpowermonthly.com/news/952194/Offshore-plant-owners-sue-supplier-transformers---Shareholders-resort-court-action-against-Siemens-others/?DCMP=ILC-SEARCH","2004","12","23","Siemens 2000 KW","Siemens","2000","40000","","","December 23, 2004","Structural break","0","0","0","0","1","0","Rotor","Mechanical (failed transformer)","Mechanical","Google","windpowermonthly.com","Offshore plant owners sue supplier of transformers -- Shareholders' resort to court action against Siemens and others"
"231","Wind","Crosby County, Texas","USA","A crop duster hit a tower and crashed into a Crosby County cotton field Thursday morning, killing the pilot, Federal Aviation Administration officials said.","http://lubbockonline.com/stories/052005/reg_052005054.shtml","2005","5","19","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 19, 2005","Death","1","0","0","0","0","0","Blade","Human (plane crash)","Human","Google","lubbockonline.com","Ransom Canyon pilot dies in Crosby County crop-dusting accident"
"232","Wind","Aberystwyth","UK","The windfarm is obviously situated on the top of a hill with no wires or roads nearby and the horrendous injury, in which the end portion of the wing was almost severed, is considered by the vet who examined the kite, to be wholly in keeping with being hit by a turbine blade.","http://www.gigrin.co.uk/w/wind_turbine_kills_kite.html","2005","11","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 1, 2005","Bird injury","0","0","1","0","0","0","Blade","Mechanical (due to collision)","Mechanical","Google","gigrin.co.uk","Red Kite Critically Injured By Wind Turbine"
"233","Wind","Gütsch mountain","Switzerland","During the winter 05/06, over 100 ice fragments could be recorded and analyzed.","http://www.ewec2007proceedings.info/index2.php?page=info2&id=49&id2=272&ordre=192&tr=2&searchin=&what=&searchtext=&day=&top=&fil1=&fil2=&fil2&ord1=&sess=#top","2005","UNKNOWN","UNKNOWN","Enercon 600 KW","Enercon","600","UNKNOWN","","","UNKNOWN","Ice throw","0","0","0","0","1","0","Blade","Nature (cold)","Nature","Google","ewec2007proceedings.info","Wind turbine ice throw case studies in the swiss alps "
"234","Wind","North Dakota","USA","A man was struck by a fork lift as he worked on the Barton Windmill Project, just North of Grafton in Worth County. Dick Hamilton, 46 of Tishmingo, Oklahoma was hit when the driver of an all terrain, Caterpillar fork lift didn't see him on October 9.","http://www.windaction.org/news/19331","2008","10","9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","October 9, 2008","Death","1","0","0","0","0","0","NONE_Forklift","Human","Human","Google","windaction.org","Fines for deadly Worth County windfarm accident"
"235","Wind","San Diego","USA","A semi tractor trailer travels westbound on I-8, passing the wind farm on the Campo Indian Reservation, back in October 2009. Lightning struck the power towers during a fierce storm on Monday, Dec. 07, 2009, causing some damage.","http://www.utsandiego.com/news/2009/dec/08/lighting-strikes-damage-wind-turbines/","2009","12","9","GE","GE","UNKNOWN","160000","","","December 8, 2009","Structural break","0","0","0","1","1","0","Tower","Nature (lightening strike)","Nature","Google","utsandiego.com","Lightning damages East County wind turbines"
"236","Wind","Northumberland Strait","Canada","One of the blades of a Suez Energy North America V-90 wind turbine situated approximately 1,600 feet away, between her house and the Northumberland Strait, was damaged. Pieces were dangling from the blade and other pieces were strewn throughout a field, right up to her back door","http://www.journalpioneer.com/Natural-resources/2008-12-26/article-1389822/Storm-damages-wind-turbine/1","2008","12","26","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","December 26, 2008","Structural break","0","0","0","1","1","0","Blade","Nature (strong wind)","Nature","Google","Journal Pioneer","Storm damages wind turbine"
"237","Wind","Alaska","USA","The wind storm that knocked over the crane had similar negative effects on the local residential wind-powered electric generators. The storm, which blew at least 125 miles per hour, completely dislodged the helix shaped turbine that was installed on Haystack hill. The blades and shaft blew away and were later located by divers. The tower stayed up. ","http://alaskarenewableenergy.org/125-mph-winds-damage-unalaska-wind-turbines/","2009","12","18","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","December 18, 2009","Structural break","0","0","0","1","1","0","Blade","Nature (strong wind)","Nature","Google","alaskarenewableenergy.org","125 mph winds blow away Unalaska wind turbine "
"238","Wind","Wachusett Mountain, Massachusetts","USA","The top half of one of the 100-foot windmills, with its broken turbine and missing blades, lies on the ground at the PMLD wind site. ","http://www.thelandmark.com/news/2006-03-02/Front_page/001.html","2006","2","21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","February 21, 2006","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Nature","Google","thelandmark.com","Windmill topples on Wachusett Mountain "
"239","Wind","Smøla","Norway","The discovery of four mangled white tailed eagles over a four month period at Norway's largest wind power station at Smøla is causing international concern among bird protection groups worried about future wind power development and the fate of sensitive bird populations. ","http://www.windpowermonthly.com/news/956999/Concern-eagle-kills-Norway---Discovery-British-bird-group/?DCMP=ILC-SEARCH","2006","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","190000","","","UNKNOWN","Bird death","1","0","0","0","0","0","Blade","Mechanical (due to collision)","Mechanical","Google","windpowermonthly.com","Concern over eagle kills in Norway -- Discovery by British bird group"
"240","Wind","Tirunelveli","India","A big fire broke out at a 2MW wind-power unit at Chettikulam in Tirunelveli district, reportedly the biggest in Asia, causing a loss of about Rs two crore.","http://www.windaction.org/news/3531","2006","6","18","2000 KW","UNKNOWN","2000","UNKNOWN","","","June 18, 2006","Fire & Structural break","0","1","0","0","1","0","Generator","Mechanical","Mechanical","Google","windaction.org","Fire in Chettikulam wind-power unit"
"241","Wind","Zhejiang","China","Longyuan Electric Power's coastal 15.85 MW Hedingshan wind farm in East China's Zhejiang Province suffered heavy damage after being swept by Typhoon Saomai and winds of 67 m/s in mid August. One Vestas 660 kW and two Windey 750 kW machines were toppled.","http://www.windpowermonthly.com/news/960650/Typhoon-damage-affects-Hedingshanwind-farm-East-China/?DCMP=ILCSEARCH","2006","8","15","Vestas 660 KW","Vestas","660","15850","","","August 15, 2006","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Typhoon damage affects Hedingshan wind farm in East China"
"242","Wind","Zhejiang","China","Longyuan Electric Power's coastal 15.85 MW Hedingshan wind farm in East China's Zhejiang Province suffered heavy damage after being swept by Typhoon Saomai and winds of 67 m/s in mid August. One Vestas 660 kW and two Windey 750 kW machines were toppled.","http://www.windpowermonthly.com/news/960650/Typhoon-damage-affects-Hedingshanwind-farm-East-China/?DCMP=ILCSEARCH","2006","8","15","Windey 750 KW","Windey","750","15850","","","August 15, 2006","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Typhoon damage affects Hedingshan wind farm in East China"
"243","Wind","Zhejiang","China","Super Typhoon Saomai almost destroyed the coastal Cangnan Wind Farm in August 2006, damaging 20 of its 28 turbines.","http://www.windpowermonthly.com/news/965674/China-Special---Offshore-Donghailitmus-test-offshore-plan/?DCMP=ILCSEARCH","2006","8","15","Dewind 600 KW","Dewind","600","3000","","","August 15, 2006","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","China Special - Offshore: Donghai litmus test for offshore plan"
"244","Wind","Kansas","USA","A routine wind plant installation in America's heartland took an unnerving hit recently from a small tornado, which whipped through the construction site and damaged blades waiting for installation.","http://www.windpowermonthly.com/news/954963/Tornado-trouble-construction-site---lesson-Kansas-winds/","2006","11","UNKNOWN","GE 1500 KW","GE","1500","100500","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windpowermonthly.com","Tornado trouble at construction site -- A lesson from Kansas winds"
"245","Wind","Bo'ness, Scotland","UK","A Scots wind turbine firm has put out an alert after part of a turbine fell off at a school. The school lost its green energy supply after a damper, used to control the blades, came off when bolts broke.","http://ventdubocage.net/ecosse5.htm","2006","12","10","15 KW","UNKNOWN","15","UNKNOWN","","","December 10, 2006","Structural break","0","0","0","0","1","0","Blade","Structural (loose bolts)","Mechanical","Google","ventdubocage.net","Alert after turbine breakdown"
"246","Wind","Gulf of Mexico","Mexico","In the early morning hours of August 16, workers on a shallow-water oil and gas production platform in the Gulf of Mexico were transferring a heaving piece of equipment from the platform to a workboat. Suddenly the crane collapsed, triggering a tragic series of events that resulted in the death of one worker","http://www.herrmanandherrman.com/blog/2011/10/collapsed-offshore-platform-crane-kills-worker.shtml","2011","8","16","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","August 16, 2011","Death ","1","0","0","0","1","0","Crane","Human (transportation)","Human","Google","Herrman&Herrman","COLLAPSED OFFSHORE PLATFORM CRANE KILLS WORKER"
"247","Wind","Vermont","USA","At 3 o’clock in the morning of 26 March 1945, even though the wind on Grandpa’s Knob was light, one of the 8 ton blades broke off and went whirling through the air landing 225 m down the hillside.","http://icproxy.sabanciuniv.edu:2056/ehost/pdfviewer/pdfviewer?vid=6&sid=2ad477ef-fedf-489c-b4f7-14b5c65a8558%40sessionmgr15&hid=13","1945","3","26","Smith-Putnam 1250 KW","S. Morgan Smith","1250","UNKNOWN","","","March 26, 1945","Structural break","0","0","0","1","1","0","Blade","Mechanical","Mechanical","Ebscohost","","Technological Trajectories in the Making: Two Case Studies from the Contemporary History of Wind Power"
"248","Wind","Gedser","Denmark","Generating a total of 2.2 GWh with an annual record of 367 MWh in 1964, the Gedser Wind Turbine continued in routine operation until 1967 when the gearing broke.","http://icproxy.sabanciuniv.edu:2056/ehost/pdfviewer/pdfviewer?vid=6&sid=2ad477ef-fedf-489c-b4f7-14b5c65a8558%40sessionmgr15&hid=13","1967","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","1","1","0","Gear","Mechanical","Mechanical","Ebscohost","","Technological Trajectories in the Making: Two Case Studies from the Contemporary History of Wind Power"
"249","Wind","South Leicestershire, England","UK","Fragments of blade scattered across the field.","http://www.habitat21.co.uk/wind30.html","2007","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","habitat21.co.uk","Shrapnel from a wind turbine"
"250","Wind","Kent, England","UK","Of the 36 turbines erected off Herne Bay - on the Kentish Flats - 12 have experienced gearbox problems. ","http://news.bbc.co.uk/2/hi/uk_news/england/kent/6309013.stm","2007","1","29","Vestas","Vestas","UNKNOWN","UNKNOWN","","","January 29, 2007","Mechanical","0","0","0","1","1","0","Gearbox","Mechanical","Mechanical","Google","BBC","Gearbox fault halts wind turbines "
"251","Wind","Tasmania","Australia","The 62-tower Woolnorth farm has killed up to 18 of the island's endangered subspecies of the wedge-tail in its giant rotor blades.","http://www.smh.com.au/news/environment/green-power-black-hole/2008/01/02/1198949900016.html","2008","UNKNOWN","UNKNOWN","Vestas 1750 MW","Vestas","1750","129000","","","UNKNOWN","Bird death","1","0","0","0","0","0","Blade","Mechanical (due to collision)","Mechanical","Google","smh.com.au","Green power is black hole for rare eagles"
"252","Wind","Lackawanna, N.Y.","USA","Clipper Windpower Inc.'s 2.5-MW Liberty wind turbines at the 20-MW Steel Winds facility in Lackawanna, N.Y., are malfunctioning due to faulty gear sets","http://www.snl.com/interactivex/article.aspx?CdId=A-7161399-9829","2008","1","UNKNOWN","Clipper Liberty 2500 KW","Clipper","2500","20000","","","UNKNOWN","Mechanical","0","0","0","1","0","0","Gear","Mechanical (faulty gear sets)","Mechanical","Google","snl.com","Clipper's 2.5-MW Liberty wind turbines malfunction"
"253","Wind","Mount Storm, West Virginia","USA","According to NedPower Mount Storm spokesperson Tim O'Leary, a wind turbine in Mount Storm caught fire at approximately 5:15 p.m. on Tuesday afternoon. According to O'Leary, the fire occurred during routine maintenance and started in the nacelle of the wind turbine.","http://www.windaction.org/news/13659","2008","1","15","Gamesa 2000 KW","Gamesa","2000","164000","","","January 15, 2008","Fire","0","1","0","0","0","0","Nacelle","UNKNOWN","UNKNOWN","Google","windaction.org","Mt. Storm turbine catches fire"
"254","Wind","Caister","UK","A cable that brings power ashore from an offshore windfarm has failed and needs to be replaced in the spring.","http://news.bbc.co.uk/2/hi/uk_news/england/norfolk/7190082.stm","2008","1","21","Vestas 2000 KW","Vestas","2000","60000","","","January 21, 2008","Mechanical","0","0","0","1","0","0","Cable","UNKNOWN","UNKNOWN","Google","BBC","Repair plan for offshore windfarm"
"255","Wind","Caister","UK","A worker was treated in hospital for burns caused by an electrical flash while working to repair those cables","http://news.bbc.co.uk/2/hi/uk_news/england/norfolk/7190082.stm","2008","1","21","Vestas 2000 KW","Vestas","2000","60000","","","January 21, 2008","Injury","0","0","1","0","0","0","Cable","Mechanical (electrical flash)","Mechanical","Google","BBC","Repair plan for offshore windfarm"
"256","Wind","Cohoctan, N.Y.","USA","The blade fell on the windshield of a car.","http://www.windaction.org/pictures/17097","2008","1","27","Clipper 2500 KW","Clipper","2500","125000","","","January 27, 2008","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","windaction.org","Blade meets windshield"
"257","Wind","Sault Ste. Marie","Canada","One of the massive turbines at the sprawling Prince Wind Energy Project, immediately northwest of the city limits, was damaged during the Jan. 30 blizzard, which, according to Environment Canada, carried maximum wind gusts of 102 kilometres an hour.","http://www.windaction.org/news/14283","2008","1","30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","January 30, 2008","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Winds too much for turbine"
"258","Wind","Blackpool Beach","UK","The ferry Riverdance went out of control. Several rescue attempts were made 
by both boat and helicopter with all persons on board being airlifted off leaving 
a skeleton crew on board. This skeleton crew was unable to control the boat, 
and the Riverdance was beached on Blackpool Beach. ","http://www.decc.gov.uk/assets/decc/what%20we%20do/a%20low%20carbon%20uk/1_20091120130307_e_@@_barrowannualreportjuly2007tojune2008final.pdf","2008","1","30","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","January 30, 2008","Transportation accident","0","0","0","0","0","1","UNKNOWN","Human (crew was unable to control the boat)","Human","Google","decc.gov.uk","Offshore wind capital grant scheme"
"259","Wind","Solano County, California","USA","A wind turbine caught fire in Birds Landing early Monday, but investigators have yet to identify what caused the flames.","http://www.windaction.org/news/14610","2008","3","10","2050 KW","UNKNOWN","2050","102500","","","March 10, 2008","Fire","0","1","0","0","0","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Fire ruins turbine at wind farm; Birds Landing blaze gutted 1 of 90"
"260","Wind","Cumbria","UK","An exclusion zone is in place around a Furness wind farm after gale force winds battered Cumbria. Pencil Lane at Marton has been closed off since Monday evening as engineers work to fix a mechanical failure on a turbine at Askam and Ireleth Wind Farm.","http://www.windaction.org/news/14635","2008","3","10","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","March 10, 2008","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Exclusion zone around wind farm after gales"
"261","Wind","Higashi-Izucho, Shizuoka","Japan","The strong winds that buffeted the Tokai and Kanto regions Tuesday apparently snapped the massive blades of two wind turbines in Higashi-Izucho, Shizuoka Prefecture, officials of the company that operates the turbines said.","http://www.windaction.org/news/15149","2008","4","8","1500 KW","UNKNOWN","1500","UNKNOWN","","","April 8, 2008","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Windmills lose blades in high winds"
"262","Wind","Texas","USA","A 29-year-old contractor for Global Windpower Services fell 50 to 60 feet inside the shaft of a wind turbine on Wednesday, breaking ribs and a leg, rescue officials said.","http://www.windaction.org/news/15338","2008","4","16","Siemens 2300 KW","Siemens","2300","735500","","","April 16, 2008","Injury","0","0","1","0","0","0","Tower","Human","Human","Google","windaction.org","Man injured after fall inside wind turbine"
"263","Wind","Sac County, Iowa","USA","Authorities say 38 year-old Glen Forbes was driving a trailer loaded with wind turbine blades when the rear steering malfunctioned. The Sac County, Iowa Sheriff's office says they're investigating what caused a semi to start a chain reaction accident that sent a utility pole into an Early, Iowa restaurant.","http://www.windaction.org/news/15624","2008","5","3","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 3, 2008","Transportation accident","0","0","0","0","0","1","Blade","Human (transportation)","Human","Google","windaction.org","Truck driver sends utility pole into restaurant"
"264","Wind","Palm Springs, California","USA","Fire caused an estimated $750,000 in damage to a windmill on Thursday, the Palm Springs Fire Deparment said today. Firefighters were called out about 5:55 p.m. to Windmill Farms a mile south of Interstate 10. The top portion of the windmill was on fire and several small spot fires happened because of falling debris. The fire is under investigation.","http://www.windaction.org/news/15766","2008","5","8","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 8, 2008","Fire","0","1","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","windaction.org","Windmill fire causes $750,000 in damage"
"265","Wind","Springfield","USA","A truck carrying part of a large wind turbine damaged some girders at the Highway 60 and 65 interchange around ten Friday morning.","http://www.windaction.org/news/15771","2008","5","2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 2, 2008","Transportation accident","0","0","0","0","0","1","UNKNOWN","Human (transportation)","Human","Google","windaction.org","Bridge repair at highway 60 and 65 interchange may slow commute times"
"266","Wind","Delaware","USA"," punishing gale broke apart a research ship launched in March to study Delaware's offshore wind power resources, forcing the Coast Guard to rescue two crewmen from the sinking vessel. The Peterson, a former Gulf Coast oil industry service boat, was christened March 29 and sent to sea to support Bluewater Wind LLC's efforts to build a 150-turbine offshore wind farm in Atlantic waters east of Delaware.","http://www.windaction.org/news/15798","2008","5","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Transportation accident","0","0","0","0","0","1","UNKNOWN","Nature (strong wind)","Nature","Google","windaction.org","2 rescued as research vessel sinks off Rehoboth"
"267","Wind","Belfast, Northern Ireland","UK","A farmer has described the shocking moment a 16-foot wind turbine blade smashed through the roof of his home as his family slept inside.","http://www.belfasttelegraph.co.uk/news/local-national/farmhouse-horror-as-turbine-blade-smashes-through-roof-13895218.html","2008","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","Google","belfasttelegraph.co.uk","Farmhouse horror as turbine blade smashes through roof"
"268","Wind","Texas","USA","The bridge has been closed since late June after a truck hauling a propeller wing for a wind power turbine in west Texas slammed into one of the bridge abutments. Engineers say it will be impossible to repair the bridge.","http://www.windaction.org/news/16777","2008","6","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Transportation accident","0","0","0","0","1","1","Blade","Human","Human","Google","windaction.org","Ralph Fair Road bridge will have to be replaced"
"269","Wind","Cumberland","Canada","There was a lightning strike that fried some components last year, but we believe this time it's an electrical circuit inside the control room that blew out, Const. Paul Calder of the Cumberland RCMP said recently.","http://www.cumberlandnewsnow.com/Natural-resources/2008-07-22/article-374726/RCMP-turbine-on-the-fritz-again/1","2008","7","UNKNOWN","50 KW","UNKNOWN","50","UNKNOWN","","","UNKNOWN","Mechanical","0","0","0","1","0","0","Nacelle","Mechanical (electrical circuit)","Mechanical","Google","cumberlandnewsnow.com","RCMP turbine on the fritz again"
"270","Wind","Alberta","Canada","The two-year study found 90 per cent of the studied bats found dead below turbines near Pincher Creek suffered severe injuries to their respiratory systems consistent with a sudden drop in air pressure that occurs near the turbine blades. ","http://www.canada.com/calgaryherald/news/story.html?id=28de9bd8-0a99-4935-bd34-9997a5808ebc","UNKNOWN","UNKNOWN","UNKNOWN","Vestas 1800 KW","Vestas","1800","149400","","","UNKNOWN","Bird death","1","0","0","0","0","0","Blade","Mechanical (sudden drop in air pressure)","Mechanical","Google","canada.com","Wind turbines to blame for bat deaths: study"
"271","Wind","Tasmania","Australia","The first eagle was killed on August 17 and a few days later its mate was also struck.","http://www.windaction.org/news/17683","2008","8","17","Vestas 1750 KW","Vestas","1750","65000","","","August 17, 2008","Bird death","1","0","0","0","0","0","Tower","Mechanical (due to collision)","Mechanical","Google","windaction.org","Windfarm collision kills eagles"
"272","Wind","Idaho","USA","On Sept. 25, a truck carrying the base for a large wind turbine failed to exit the freeway, damaging the Exit 40 overchange bridge.","http://www.windaction.org/news/18239","2008","9","25","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","September 25, 2008","Transportation accident","0","0","0","0","1","1","Tower","Human","Human","Google","windaction.org","Idaho farmers fear road damage to impede harvest"
"273","Wind","Kintyre","UK","A six-year-old Vestas V47 turbine toppled at Scottish Power's Beinn an Tuirc windfarm at Kintyre on November 8. The 200ft mast bent in half and crumpled to the ground after being hit by a 50mph gust.","http://www.off-grid.net/2008/01/15/vestas-turbine-collapse/","2008","11","8","Vestas 660 KW","Vestas","660","UNKNOWN","0","0","November 8, 2008","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","Off Grid","Vestas Turbine collapse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
